47,https://images-na.ssl-images-amazon.com/images/I/41HfDkXXyeL._AC_US218_.jpg,Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation  4GB DDR4 1TB 5400RPM HD Intel HD Graphics 620 Windows 10 Home) Obsidian Black,,,,15.6 inches | Windows 10 | core Intel Core i3 | 4.0 GB | 1000 GB,,,,,,,Acer,419.99,Notebook,Notebooks,,,,,
48,https://images-na.ssl-images-amazon.com/images/I/51SkNBq7ReL._AC_US218_.jpg,Dell Inspiron 15.6 HD Newest Pro 2018 Laptop Notebook Computer Intel Pentium N5000(Beat Core i3-7100U & AMD A6) WiFi HDMI Webcam Bluetooth Win 10 4GB/8GB RAM 500GB to 2TB HDD 128GB to 1TB SSD,,,,15.6 inches | Windows 10 | pentium | 4.0 GB | 500.0 GB,,,,,,,Dell,319.99,Notebook,Notebooks,,,,,
49,https://images-na.ssl-images-amazon.com/images/I/5160Nw24OvL._AC_US218_.jpg,"XIDU PhilBook 11.6"" FHD Touchscreen 2-in-1 Laptop PC Convertible Notebook Intel Quad Core Atom Z8350 4GB RAM 64GB eMMC WiFi Bluetooth Windows 10 Silver",,,,11.6 inches | Windows 10 | intel atom | 4.0 GB | 64.0 GB,,,,,,,XIDU,265.99,Notebook,Notebooks,,,,,
50,https://images-na.ssl-images-amazon.com/images/I/41lllGFpPbL._AC_US218_.jpg,"Samsung NP900X3T-K02US Notebook 9 13.3"" Traditional Laptop (Light Titan)",,,,13.3 inches | Windows 10 Home | core Intel Core i7 | 8.0 GB | 256 GB,,,,,,,Samsung,1161.36,Notebook,Notebooks,,,,,
51,https://images-na.ssl-images-amazon.com/images/I/41G2uqs1A0L._AC_US218_.jpg,Dell Latitude E7250 UltraBook Business Laptop NoteBook (Intel Quad Core i5-5300U 8GB Ram 128GB Solid State SSD HDMI Camera WIFI) Win 10 Pro (Certified Refurbished) SC Card Reader,,,,12.5 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 128.0 GB,,,,,,,Dell,349.9,Notebook,Notebooks,,,,,
52,https://images-na.ssl-images-amazon.com/images/I/51VmLd4aicL._AC_US218_.jpg,"Fast Latitude E6530 Notebook 15.6"" Business Laptop PC (Intel Core i5-3210M 8GB Ram 500GB HDD WebCAM HDMI WIFI DVD-RW) Win 10 Pro With CD (Certified Refurbished)",,,,15.6 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 500.0 GB,,,,,,,Latitude,315,Notebook,Notebooks,,,,,
53,https://images-na.ssl-images-amazon.com/images/I/517umhTkCEL._AC_US218_.jpg,"HP EliteBook 8470P 14"" Notebook PC - Intel Core i5-3320M 2.6GHz 8GB 320GB DVD Windows 10 Professional (Certified Refurbished)",,,,14.0 inches | Windows 10 Professional | core Intel Core i5 | 8 GB | 320 GB,,,,,,,HP,228.9,Notebook,Notebooks,,,,,
54,https://images-na.ssl-images-amazon.com/images/I/51kY4PHneiL._AC_US218_.jpg,HP Notebook Laptop 15.6 HD Vibrant Display Quad Core AMD E2-7110 APU 1.8GHz 4GB RAM 500GB HDD DVD Windows 10,,,,15.6 inches | Windows 10 | amd e series | 4 GB | 500.0 GB,,,,,,,HP,294.85,Notebook,Notebooks,,,,,
55,https://images-na.ssl-images-amazon.com/images/I/41GK8jSBEjL._AC_US218_.jpg,"HP Lightweight Stream Pro 11.6"" Notebook (Intel Celeron N3060 4GB Ram 64GB SSD Intel HD Graphics Windows 10Pro) Classic Black- Only 2.58 Ibs",,,,11.6 inches | Windows 10 Professional | celeron | 4.0 GB | 64.0 GB,,,,,,,HP-Stream-Pro,269,Notebook,Notebooks,,,,,
56,https://images-na.ssl-images-amazon.com/images/I/41ep9XKCNHL._AC_US218_.jpg,ASUS VivoBook F510UA 15.6” Full HD Nanoedge Laptop Intel Core i5-8250U Processor 8GB DDR4 RAM 1TB HDD USB-C Fingerprint Windows 10 Home - F510UA-AH51 Star Gray,,,,15.6 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 1000 GB,,,,,,,Asus,509.99,Notebook,Notebooks,,,,,
57,https://images-na.ssl-images-amazon.com/images/I/41YP969yP5L._AC_US218_.jpg,HP Touchscreen 15.6 inch HD Notebook  Intel Core i5-8250U Processor up to 3.40 GHz 8GB DDR4 2TB Hard Drive Optical Drive Webcam Backlit Keyboard Bluetooth Windows 10 Home,,,,15.6 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 2.0 TB,,,,,,,HP,564.8,Notebook,Notebooks,,,,,
58,https://images-na.ssl-images-amazon.com/images/I/41EJx9uf4OL._AC_US218_.jpg,"CUK WT75 Desktop Performance Mobile Workstation (Intel i7-8700 32GB RAM 2X 480GB SSD NVIDIA Quadro P3200 6GB 17.3"" FHD 120Hz 3ms Windows 10 Pro) VR Ready Notebook Computer",,,,17.3 inches | Windows 10 Professional | core Intel Core i7 | 32.0 GB | 960.0 GB,,,,,,,Computer Upgrade King,2899.99,Notebook,Notebooks,,,,,
59,https://images-na.ssl-images-amazon.com/images/I/51PYkBqW48L._AC_US218_.jpg,ASUS Chromebook Flip C302CA-DH54 12.5-inch Touchscreen Convertible Chromebook  Intel Core m5 4GB RAM 64GB Flash Storage All-Metal Body USB Type C Corning Gorilla Glass Chrome OS,,,,12.5 inches | Chrome OS | 8032 | 4.0 GB | 64 GB,,,,,,,Asus,626.99,Notebook,Notebooks,,,,,
60,https://images-na.ssl-images-amazon.com/images/I/41C68G2gK7L._AC_US218_.jpg,Dell Inspiron 2-in-1 2018 Latest Pro Laptop Notebook Computer 13.3 FHD Touch Screen (Beat i7-7500U) Ryzen 5/Ryzen 7 to 3.8GHz CPU 8GB/12GB/16GB/32GB RAM 128GB/256GB/512GB/1TB SSD AMD Vega Wi-Fi,,,,13.3 inches | Windows 10 | amd r series | 4.0 GB | 128.0 GB,,,,,,,Dell,559.99,Notebook,Notebooks,,,,,
61,https://images-na.ssl-images-amazon.com/images/I/41J-4puML+L._AC_US218_.jpg,CUK Probook 450 G5 Business Laptop (Intel Quad Core i7-8550U 32GB RAM 500GB NVMe SSD + 2TB HDD 15.6” Full HD Display Windows 10 Pro) Notebook Computer for Students and Professionals,,,,15.6 inches | Windows 10 Professional | core Intel Core i7 | 32.0 GB | 2500.0 GB,,,,,,,Computer Upgrade King,1259.99,Notebook,Notebooks,,,,,
